CC.EST,GE.EST,PV.EST,RL.EST,RL.NO.SRC,RQ.EST,VA.EST
-1.493360877,-1.611539483,-2.702721119,-1.831406713,10,-1.389163017,-1.078266859
-0.935061216,-1.257484555,-0.599917889,-0.951058805,10,-0.856853485,-0.816005945
0.632067442,0.911797345,1.503842711,0.373447895,1,0.93036598,0
-0.57353878,-0.155121222,0.088612519,-0.378028214,10,0.221967235,0.086325444
1.265453935,1.749241352,1.58867538,1.615181565,1,1.335421324,1.085335255
1.083613992,1.285266876,0.592605352,0.875135958,9,1.074331045,-1.178066254
-0.163570061,-0.254261822,-0.071997404,-0.486265957,13,-0.498344272,0.584501207
-0.003474974,-0.304547429,-0.77164489,-0.125831425,10,0.238748029,0.047347892
1.265453935,0.632649243,1.09020865,1.118488073,1,0.525310516,0.970990181
0.239038527,-0.204794809,0.929578841,0.407381147,3,0.497693717,0.741594791
1.632980585,1.573353291,0.862161875,1.615003586,9,1.813946962,1.298984885
1.477709413,1.605863214,0.887600899,1.770608902,10,1.395227313,1.394628882
-1.078075886,-0.155263707,-0.852253795,-0.729642749,9,-0.336040139,-1.540866017
-1.563401699,-1.302482963,-1.54235208,-1.340650916,10,-1.06177187,-1.526612759
1.445801735,1.078235269,0.521078527,1.327594042,9,1.343635798,1.278140426
-0.039982349,-0.29091385,-0.443071663,-0.7669186,12,-0.483431756,-0.075776935
-0.122198515,-0.708106637,-1.537978411,-0.468718588,13,-0.482700348,-0.189439803
-1.003712177,-0.779491305,-0.915816903,-0.565531194,12,-0.906213522,-0.769459009
-0.322349757,-0.214027837,0.401631027,-0.127672985,12,0.460990727,0.259386778
-0.092978388,0.390440106,-0.61010462,0.454586416,7,0.614857495,-1.453155875
1.106287122,0.405258924,0.830306888,0.021098349,5,0.001366154,0.913996696
-0.643099904,-1.075703263,-0.447477132,-0.316137344,10,-0.18239288,-0.323391467
-0.134194106,-0.82965821,-0.887615979,-1.085174084,9,-0.799875796,-1.452952981
-0.193254113,-0.603579581,0.518667579,-0.826539576,5,-0.550579548,0.521323442
1.265453935,1.470093369,1.003442287,0.621794641,1,0.93036598,0
-0.844824612,-0.726455271,-0.45346719,-1.218631148,12,-1.035290122,-0.086452402
-0.429083496,-0.465709209,-0.44689092,-0.231919765,13,-0.111011527,0.28739506
1.19359374,0.443785101,1.120659947,0.294381261,6,0.467795849,1.125001192
1.248015285,1.383309364,1.188084006,0.89775914,4,0.904901445,-0.929686606
1.618371844,0.305567265,1.013489127,0.576956928,7,-0.330750853,0.151077375
0.610775888,0.167879269,1.013168097,0.382221907,12,0.527586281,0.488763332
-1.295017958,-1.72879374,-2.23627758,-1.754238486,9,-1.502297163,-1.30338645
1.56571281,1.598312855,1.013182282,1.619103312,10,1.592589736,1.471668839
2.045429468,1.97202301,1.176240206,1.776890278,8,1.584892631,1.536162972
1.106137156,0.705044687,0.044044506,0.930162132,12,0.948647738,0.991940737
-0.071028143,0.643971682,-0.474127859,-0.102505103,10,-0.20264338,-1.656358719
-0.551726758,-0.53914851,-1.033219695,-0.656908572,14,-0.381347746,-0.530299067
-1.139536023,-0.931410909,-1.513679743,-1.167671323,14,-0.830199361,-1.205419183
-1.592743516,-1.74490869,-1.786685586,-1.823879004,11,-1.511245608,-1.254215002
-1.460652351,-1.254402399,-0.213043123,-1.119216323,10,-1.452166677,-1.278742075
0,0,1.153894305,0,0,0,1.064044118
-0.252498597,0.008475319,-0.70115006,-0.491402626,13,0.225666419,0.143006012
-1.209177613,-1.643052816,-0.287384897,-1.276969671,7,-1.258211136,-0.762464702
0.846103609,0.199302867,0.874232292,0.43083632,9,0.160896987,0.912386835
0.661411285,0.196500391,0.746818066,0.498832434,11,0.477579594,1.120298505
-0.153954476,-0.203988671,0.596146762,-0.285385042,7,-1.530463457,-1.418159366
0.438464016,1.074959755,1.456470966,0.726127982,2,1.045568824,0.495715708
0.349943221,0.839448512,0.288777649,0.547239065,9,0.993247628,0.902293324
0.555441022,0.910964906,0.912328005,1.018450618,12,1.234668493,0.978554964
1.825341582,1.313688159,0.645049155,1.520127773,10,1.577934742,1.373909116
-0.752914548,-0.761062145,-0.448202372,-1.042986751,9,-0.857029617,-1.407038569
0.556784511,-0.126768589,1.317089558,0.791576862,3,0.268519282,0.870887697
2.236486197,1.840067387,0.920233727,1.80679369,10,1.785724521,1.51478529
-0.750963449,-0.281447858,0.164981201,-0.171013609,12,0.023165073,0.237134993
-0.666826963,-0.573643208,-0.847820401,-0.798027575,8,-1.355300307,-1.088508606
-0.504086554,-0.47050634,-0.270243227,-0.540949643,12,-0.871133387,-0.014699864
-0.810433626,-0.446171612,-1.181932807,-0.317483068,11,-0.571031153,-1.481892228
-1.340578318,-1.643217921,-0.992741048,-1.490068078,9,-2.15805459,-2.063122272
0.711801946,0.853928566,0.411448449,0.860964477,10,0.755449116,1.004014373
1.58082056,1.299006701,0.709816992,1.335088134,12,1.529534817,1.167182088
-0.389672369,-0.589582562,-1.753702998,-0.402888596,13,-0.975501299,-1.036392808
2.17043972,1.901003957,0.981825113,2.018592119,10,1.850898266,1.609511852
0.613366008,0.59055531,0.662797213,0.197523907,4,-0.102151036,0.056078617
1.122619987,1.204251051,0.280992836,1.298727274,10,1.189461946,1.065752983
0.874902904,0.357185036,1.115463972,0.190418258,4,-0.891345799,1.127165914
-0.886901438,-0.991475403,-0.065772817,-0.679911435,10,-0.881805599,-0.977103651
1.660201192,1.332154155,0.483050257,1.463964343,9,1.474023938,1.231570482
0.601492643,0.716738403,-0.42961064,0.222878128,9,1.001167655,0.055609059
-0.127223,-0.196979344,0.169901907,-0.082128517,14,-0.13057971,0.552889407
-0.973217785,-0.969097733,-0.669285238,-1.303798676,13,-0.878001869,-0.91927886
-0.424807698,-0.786214232,0.248035476,-0.393534988,11,-0.759016037,-0.200950474
